gesture_index,gesture_name,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7
0,stop,128.5,306.9,132.0,369.3,389.5,352.0,362.8
0,stop,128.4,307.1,132.1,369.4,388.9,352.0,362.8
0,stop,128.6,307.0,132.0,369.1,389.3,352.3,362.9
0,stop,128.5,307.0,132.0,369.2,389.0,351.6,362.6
0,stop,128.5,307.4,132.1,369.6,389.6,352.3,362.6
0,stop,128.6,307.4,132.1,369.6,389.7,352.3,363.0
0,stop,128.4,306.3,131.8,368.9,389.0,351.3,362.3
0,stop,128.5,306.8,131.9,369.3,389.1,351.8,362.5
0,stop,128.5,306.8,132.0,369.4,389.2,351.5,362.5
0,stop,128.5,306.9,132.1,369.2,389.2,351.8,362.8
0,stop,128.5,307.1,132.0,369.5,389.0,352.0,362.4
0,stop,128.4,307.0,131.9,369.2,388.9,351.6,362.7
0,stop,128.6,306.9,132.0,369.5,389.3,352.0,363.0
0,stop,128.4,307.2,132.1,369.4,389.6,352.0,362.4
0,stop,128.3,307.1,132.0,369.2,389.0,352.0,362.6
0,stop,128.4,307.1,132.1,369.4,389.3,352.6,362.9
0,stop,128.3,306.9,132.0,369.1,389.0,351.5,362.4
0,stop,128.7,307.4,132.3,370.1,390.0,352.5,363.4
0,stop,128.7,307.0,132.2,369.5,389.1,352.0,362.8
0,stop,128.7,307.2,132.0,369.2,389.5,352.0,362.5
0,stop,128.5,307.1,132.2,369.2,389.1,351.9,362.9
0,stop,128.8,307.3,132.0,369.4,389.3,352.0,362.8
0,stop,128.6,307.2,132.1,369.3,389.3,352.2,362.8
0,stop,128.5,306.9,132.0,369.1,388.8,351.7,362.2
0,stop,128.4,306.9,131.9,369.4,388.9,351.5,362.7
0,stop,128.8,307.7,132.3,370.0,389.8,352.5,363.4
0,stop,128.6,307.2,132.1,369.2,389.3,352.2,363.0
0,stop,128.5,307.0,132.0,369.4,389.7,351.9,362.7
0,stop,128.7,307.1,131.9,369.4,389.4,352.0,362.7
0,stop,128.5,307.1,132.0,369.2,389.4,352.0,362.4
0,stop,128.3,306.4,131.9,368.8,388.9,351.5,362.5
0,stop,128.5,307.0,132.1,369.1,389.2,351.9,362.7
0,stop,128.4,307.0,132.1,368.9,389.4,352.2,362.8
0,stop,128.9,306.9,132.0,369.9,389.3,352.2,363.2
0,stop,128.7,307.6,132.2,370.0,390.1,352.5,363.3
0,stop,128.7,307.5,132.2,369.5,389.4,352.2,362.7
0,stop,128.6,306.8,131.9,369.2,389.3,351.9,362.5
0,stop,128.7,307.2,132.0,369.8,389.4,352.1,363.0
0,stop,128.8,307.2,132.1,369.7,389.5,352.4,363.2
0,stop,128.7,307.2,132.2,369.1,389.2,352.0,363.0
0,stop,128.7,307.1,132.1,369.5,389.7,352.3,363.1
0,stop,128.6,307.3,132.2,369.7,389.8,352.2,363.4
0,stop,128.7,307.2,132.0,369.3,389.5,352.3,363.0
0,stop,128.5,306.9,131.9,369.0,389.4,351.7,362.7
0,stop,128.5,307.0,132.0,369.4,389.5,352.2,363.4
0,stop,128.5,306.7,131.8,369.0,389.3,351.9,362.8
0,stop,128.4,306.6,131.9,369.0,388.8,351.8,363.0
0,stop,128.5,306.6,131.7,369.2,389.0,352.2,363.2
0,stop,128.6,307.0,132.1,369.3,389.3,352.2,362.9
0,stop,128.4,306.8,131.9,369.7,389.8,352.5,363.8
0,stop,128.7,306.9,132.0,368.9,389.6,351.9,363.9
0,stop,128.7,307.1,132.1,369.3,389.5,352.0,363.5
0,stop,128.5,307.2,132.1,368.7,389.4,352.5,363.2
0,stop,128.5,306.8,132.0,368.8,389.5,351.9,363.2
0,stop,128.7,306.7,132.0,369.0,389.3,351.9,363.0
0,stop,128.4,306.8,132.1,368.9,389.0,352.1,363.0
0,stop,128.5,306.7,131.9,369.0,389.2,352.3,363.0
0,stop,128.3,306.6,131.9,368.9,389.1,351.9,363.0
0,stop,128.4,307.0,132.0,368.8,389.9,352.2,363.4
0,stop,128.5,306.8,132.0,368.9,389.7,352.2,363.3
0,stop,128.5,306.5,131.8,368.7,388.9,351.6,363.1
0,stop,128.4,306.6,132.0,369.1,388.9,351.8,363.1
0,stop,128.5,306.9,132.0,368.8,389.5,352.0,363.1
0,stop,128.6,307.0,132.0,369.1,389.5,351.9,363.1
0,stop,128.6,307.2,132.1,369.5,389.5,351.9,363.5
0,stop,128.4,306.6,132.1,368.8,389.2,352.0,362.8
0,stop,128.5,306.8,132.3,369.0,389.2,351.7,363.6
0,stop,128.5,306.6,132.0,369.2,389.2,352.2,363.6
0,stop,128.3,306.6,131.9,368.8,389.1,352.2,362.8
0,stop,128.6,306.9,132.0,369.3,389.9,352.5,363.4
0,stop,128.5,306.4,132.1,368.9,389.1,352.1,362.7
0,stop,128.5,306.6,132.0,369.0,389.2,352.2,363.2
0,stop,128.8,307.2,132.2,369.3,390.1,352.5,363.6
0,stop,128.5,306.7,132.1,368.8,389.1,352.0,363.3
0,stop,128.3,307.0,132.1,368.9,389.3,352.2,363.1
0,stop,128.3,306.7,131.9,369.1,389.5,351.9,363.1
0,stop,128.5,306.3,132.0,369.1,389.1,352.1,362.9
0,stop,128.4,306.6,131.8,368.7,389.0,352.1,362.9
0,stop,128.5,306.4,131.9,369.2,389.3,351.9,363.1
0,stop,128.5,306.6,131.9,368.7,388.8,351.6,362.9
0,stop,128.6,306.5,131.9,368.5,388.9,352.2,363.2
0,stop,128.2,306.5,131.9,368.4,388.4,351.3,362.9
0,stop,128.2,306.4,131.7,368.6,388.4,351.7,362.7
0,stop,128.4,306.6,132.1,368.9,389.2,352.1,362.7
0,stop,128.2,306.5,131.8,368.5,388.9,351.7,362.3
0,stop,128.4,306.5,131.8,368.8,389.2,352.2,363.0
0,stop,128.5,306.9,132.1,369.0,389.4,351.9,363.4
0,stop,128.6,307.3,132.0,369.4,389.2,351.9,363.2
0,stop,128.4,306.7,132.0,368.9,388.8,352.0,363.0
0,stop,128.6,306.5,132.0,368.7,389.1,352.0,363.1
0,stop,128.6,306.6,131.9,368.5,389.4,351.7,362.8
0,stop,128.5,306.8,132.0,368.9,389.2,352.0,363.2
0,stop,128.5,306.7,131.9,369.1,389.3,351.9,363.1
0,stop,128.4,306.2,131.9,368.7,388.9,351.4,363.0
0,stop,128.7,306.9,132.2,368.9,389.7,352.4,363.7
0,stop,128.4,306.8,132.1,369.1,389.5,352.6,363.5
0,stop,128.5,306.7,132.1,368.5,388.9,351.9,362.9
0,stop,128.4,306.2,131.9,368.6,388.5,351.7,362.9
0,stop,128.2,306.5,131.8,368.6,389.2,351.9,363.0
0,stop,128.4,306.7,131.9,369.2,389.2,352.1,363.1
0,stop,128.4,306.5,131.9,368.7,389.0,352.0,362.3
0,stop,128.6,306.5,131.9,368.7,388.9,352.0,362.4
0,stop,128.4,306.5,131.9,368.9,389.2,352.1,363.3
0,stop,128.3,306.7,132.0,368.6,389.1,351.9,362.8
0,stop,128.6,306.5,131.9,368.4,388.9,351.7,362.7
